,object_id,events,swing_indicator_from_samples,runs_game_t1,runs_game_t2,game_play,outs_inning,outs_play,count_balls_pa,count_balls_play,strikes_pa,strikes_play,eventId_pitch,pitch_type,pitch_result,pitch_action,pitch_speed_mph,pitch_speed_kph,pitch_speed_mps,pitch_spin_rpm,eventId_hit,hit_speed_mph,hit_speed_kph,hit_speed_mps,hit_spin,stroke_type,stroke_attempt,bat_nearest,bat_hit,bat_first,bat_last,swing_displacement_head_nearest,swing_displacement_handle_nearest,swing_time_nearest,found_nearest_inidicator,hit_inidicator,swing_displacement_head_hit,swing_displacement_handle_hit,swing_time_hit,bat_average_speed_bhit,bat_max_speed_bhit,bat_total_displacement_bhit,bat_max_instantaneous_displacement_bhit,bat_swing_duration_bhit,ball_ahit_flight_time,ball_ahit_height,ball_ahit_range,ball_hit_position,bat_hit_position,relative_distance_from_handle_to_hit,eventId_events,hit_spray_angle,hit_launch_angle,events_type,hit_indicator,events_teamId,events_personId
106,12345636_38605.jsonl,"{'start': {'angle': [-65.08023913989362, -37.280199635374096]}, 'type': 'Hit', 'teamId': {'mlbId': 90068}, 'personId': {'mlbId': 459722179}, 'eventId': '6197d01e-648a-467c-99ef-2ae7983b3c58'}",SwingRecorded,2,0,0,2,0,0,0,1,1,c073991c-d829-4028-9a3f-7f26bf18ed57,{},Strike,Foul,79.0,128.0,36.0,2360.0,6197d01e-648a-467c-99ef-2ae7983b3c58,74.0,119.0,33.0,4040.0,{},{},[],"[{'event': 'Hit', 'time': 0.460486390086703, 'head': {'pos': [0.313989423930728, 2.712075308905517, 2.156823015015887]}, 'handle': {'pos': [-1.9916744412505907, 1.752187069216443, 3.242081783317291]}}]","[{'event': 'First', 'time': -0.360683, 'head': {'pos': [-3.5197577596767333, -0.4855070465748888, 6.869266042890682]}, 'handle': {'pos': [-1.821888240180283, -1.9464528148821258, 5.320674927424305]}}]","[{'event': 'Last', 'time': 0.845874, 'head': {'pos': [-2.511439501927155, -1.1673231098505563, 4.900949700906452]}, 'handle': {'pos': [-4.304942377932956, 0.7138245878326323, 4.088614388777593]}}]",,,,No,Hit,6.865076086895434,4.246093946799487,0.821169390086703,15.593433005357687,120.54159178342141,6.818432318629254,0.4017651254141472,0.8199259999999999,,,,[0.00810686 2.87273294 2.13123505],[0.15128348 2.64433798 2.23340749],0.9294320641831989,6197d01e-648a-467c-99ef-2ae7983b3c58,-65.08023913989362,-37.280199635374096,Hit,Hit,90068.0,459722179.0
109,12345636_36657.jsonl,"{'start': {'angle': [163.6281356570384, 32.4195419318491]}, 'type': 'Hit', 'teamId': {'mlbId': 63813}, 'personId': {'mlbId': 617522563}, 'eventId': '131cab5a-cffd-4178-9ad2-dcb013f77e1f'}",SwingRecorded,5,0,0,0,0,3,0,1,1,ba0f179a-ebac-427d-a011-afb66dbed8c0,{},Strike,Foul,90.0,145.0,40.0,2500.0,131cab5a-cffd-4178-9ad2-dcb013f77e1f,70.0,113.0,31.0,1870.0,{},{},[],"[{'event': 'Hit', 'time': 0.414812438296286, 'head': {'pos': [-0.26255951196142097, 2.209706941053339, 2.267473566184861]}, 'handle': {'pos': [-2.6376934219688404, 1.6310138777210832, 3.4671031482039627]}}]","[{'event': 'First', 'time': -0.4131073000000003, 'head': {'pos': [-2.2181505068498946, -0.9711695388369183, 6.314606498987649]}, 'handle': {'pos': [-1.5388012163628808, -1.6223896167386538, 3.759287568262214]}}]","[{'event': 'Last', 'time': 0.8067697, 'head': {'pos': [-0.794625280478237, -2.7566136665090326, 2.227912327914568]}, 'handle': {'pos': [-2.763279781148953, -2.652395207131794, 4.106421272738973]}}]",,,,No,Hit,5.50650490741494,3.4463850789819084,0.8279197382962863,12.874874222655235,165.72195755404067,5.44996825562933,0.5523512845276134,0.8265830000000003,,,,[-0.57275002  2.09830038  2.77923728],[-0.71583432  2.09926812  2.49641302],0.8091582094926545,131cab5a-cffd-4178-9ad2-dcb013f77e1f,163.6281356570384,32.4195419318491,Hit,Hit,63813.0,617522563.0
110,12345636_38146.jsonl,"{'start': {'angle': [-11.464767462556017, 36.44369139973085]}, 'type': 'Hit', 'teamId': {'mlbId': 90068}, 'personId': {'mlbId': 360906992}, 'eventId': 'c8da40a7-b783-4111-bfb4-cb1787d0a6ec'}",SwingRecorded,5,0,0,0,1,0,0,2,0,ee70196b-875e-4589-8d3e-7ab6b9437a7c,{},HitIntoPlay,{},92.0,148.0,41.0,2240.0,c8da40a7-b783-4111-bfb4-cb1787d0a6ec,43.0,70.0,19.0,1390.0,{},{},[],"[{'event': 'Hit', 'time': 0.4118163340159295, 'head': {'pos': [0.08035173389405653, 1.2585392239440802, 2.6913687217803077]}, 'handle': {'pos': [-2.458161107989544, 1.1397627727504622, 3.6696849243984713]}}]","[{'event': 'First', 'time': -0.4235992, 'head': {'pos': [-3.371221023040682, 0.17309400320773596, 6.661996804142668]}, 'handle': {'pos': [-1.7107097033953058, -1.6594571071859063, 5.521945721429298]}}]","[{'event': 'Last', 'time': 0.8129648, 'head': {'pos': [-1.0590839549466864, -4.222723571988159, 2.491766266052305]}, 'handle': {'pos': [-3.063401102755727, -2.561975292862221, 3.2916948943999818]}}]",,,,No,Hit,5.371911502629026,3.438776759063919,0.8354155340159295,12.182107807106735,119.92566221781979,5.364441338288107,0.3997122321720037,0.8332639999999998,,,,[-1.08274316  1.42995483  3.24550988],[-1.10902648  1.20288848  3.1497426 ],0.5314665370487074,c8da40a7-b783-4111-bfb4-cb1787d0a6ec,-11.464767462556017,36.44369139973085,Hit,Hit,90068.0,360906992.0
111,12345636_38081.jsonl,{'eventId': ''},SwingRecorded,6,3,0,2,1,1,0,2,1,70a65b4e-e31e-44b2-b789-d9f50d44c28e,{},Strike,Blocked,85.0,137.0,38.0,1030.0,{},,,,,{},{},"[{'event': 'Nearest', 'time': 0.4256724845618303, 'head': {'pos': [-0.32120096146985966, 2.994069675617174, 1.5633229097940526]}, 'handle': {'pos': [-2.020517021460338, 1.2847845583363482, 2.830574740399177]}}]",[],"[{'event': 'First', 'time': -0.394073, 'head': {'pos': [-3.9590161035738314, -0.34447721130264003, 6.200307782397265]}, 'handle': {'pos': [-1.7674834920282663, -0.9688352164766354, 4.70946245843547]}}]","[{'event': 'Last', 'time': 0.80916, 'head': {'pos': [-2.044171139641882, -3.984991094301183, 4.371940388745]}, 'handle': {'pos': [-3.7194564621728925, -1.8382269216814129, 4.362964791848488]}}]",6.773567969175031,2.945003754400426,0.8197454845618304,Nearest,NoHit,,,,17.817328324145667,121.45207466844782,6.8123088661322555,0.4047997648699335,0.8165979999999999,,,,,,,,,,,,,
112,12345636_37979.jsonl,{'eventId': ''},SwingRecorded,5,0,0,2,0,1,1,2,0,047efacc-ff2a-49f6-b70f-5dd3f563ca92,{},Ball,Called,91.0,146.0,40.0,1790.0,{},,,,,{},{},,,,,6.878387153961635,6.878387153961635,-2.16159,Nearest,NoHit,,,,,,,,,,,,,,,,,,,,,
114,12345636_384.jsonl,{'eventId': ''},SwingRecorded,5,1,0,0,0,1,0,1,1,48840b63-0cfe-4583-973a-74341a97bd00,{},Strike,{},82.0,132.0,37.0,1910.0,{},,,,,{},{},"[{'event': 'Nearest', 'time': 0.4482385299066355, 'head': {'pos': [-0.16541497703841204, 2.302494632149528, 2.525514300201851]}, 'handle': {'pos': [-2.00210553689723, 0.6361924005664148, 3.6503531981858988]}}]",[],"[{'event': 'First', 'time': -0.3757829, 'head': {'pos': [-3.418314150619697, -1.2713343587720374, 6.521700217864006]}, 'handle': {'pos': [-1.5185317484256065, -2.1670293080439698, 4.788548387171226]}}]","[{'event': 'Last', 'time': 0.8441221, 'head': {'pos': [-0.5853490762754535, -1.0420166379341351, 3.1055608143905453]}, 'handle': {'pos': [-2.86218577944396, -1.5164606782749575, 4.521956015512454]}}]",6.270814028366538,3.063883784472033,0.8240214299066355,Nearest,NoHit,,,,15.246915851935352,138.12655667107018,6.272457838730255,0.4603758133846734,0.823269,,,,,,,,,,,,,
116,12345636_38338.jsonl,"{'start': {'angle': [39.5036739948105, 4.516007535810633]}, 'type': 'Hit', 'teamId': {'mlbId': 90068}, 'personId': {'mlbId': 451871192}, 'eventId': '9161f48d-16da-4be2-9f8e-5b1b5cb58bfb'}",SwingRecorded,6,1,1,0,0,3,0,1,0,a498cdd2-fa83-4d8b-be32-b413f931ae99,{},HitIntoPlay,{},95.0,153.0,42.0,2170.0,9161f48d-16da-4be2-9f8e-5b1b5cb58bfb,106.0,171.0,47.0,3970.0,{},{},[],"[{'event': 'Hit', 'time': 0.412100296981842, 'head': {'pos': [0.6580881675399449, -0.6485123077418834, 1.7751284200289987]}, 'handle': {'pos': [-1.23231596507587, 0.4753967226002017, 3.3808863697137856]}}]","[{'event': 'First', 'time': -0.4375841, 'head': {'pos': [-2.1519628708564436, -2.3455424256619057, 6.316604312396312]}, 'handle': {'pos': [-1.5879237638877288, -2.035531063774401, 3.6706619987050413]}}]","[{'event': 'Last', 'time': 0.8422058999999997, 'head': {'pos': [-4.598985934466341, 0.16205634494051208, 6.290086812808429]}, 'handle': {'pos': [-3.836441794781888, 0.8567700486462115, 3.7699365809794347]}}]",,,,No,Hit,5.6036864063287615,2.5524860763814474,0.849684396981842,11.992100794036325,120.95998498801006,5.376958923640662,0.40315962996500093,0.8465279999999997,,,,[ 0.35175728 -0.22449096  2.15501843],[ 0.23345366 -0.39605277  2.1358239 ],0.7753736908770407,9161f48d-16da-4be2-9f8e-5b1b5cb58bfb,39.5036739948105,4.516007535810633,Hit,Hit,90068.0,451871192.0
120,12345636_40197.jsonl,"{'start': {'angle': [-109.67943446109085, 59.29230650789608]}, 'type': 'Hit', 'teamId': {'mlbId': 90068}, 'personId': {'mlbId': 765710437}, 'eventId': '260e8f92-3469-483c-91d3-03417ee3d35e'}",SwingRecorded,5,0,0,1,0,1,0,2,0,4d532808-44f5-4912-a905-9813ddcff65e,{},Strike,Foul,92.0,148.0,41.0,2240.0,260e8f92-3469-483c-91d3-03417ee3d35e,78.0,126.0,35.0,4560.0,{},{},[],"[{'event': 'Hit', 'time': 0.412994896512595, 'head': {'pos': [-0.7005161013166606, 0.9066424452675497, 2.771560043667277]}, 'handle': {'pos': [1.7521958593912448, 1.2944775460503748, 3.889167245895539]}}]","[{'event': 'First', 'time': -0.4232176, 'head': {'pos': [3.8917365741349594, 0.4751164073419461, 6.705069823450916]}, 'handle': {'pos': [2.0855260606212056, -0.994105580706061, 5.292891287719697]}}]","[{'event': 'Last', 'time': 0.8166874, 'head': {'pos': [2.0972573945225164, -2.915793999107375, 3.9965588210529632]}, 'handle': {'pos': [3.87560978938124, -0.9018674913471685, 4.440203574332373]}}]",,,,No,Hit,6.061971506387494,2.7053951535258984,0.836212496512595,13.258767270947294,124.48092715534499,6.0098340256131975,0.4148949302087617,0.833269,,,,[-0.36448872  1.00455435  3.20870967],[-0.25374655  0.97728788  2.97513587],0.8178467118604861,260e8f92-3469-483c-91d3-03417ee3d35e,-109.67943446109085,59.29230650789608,Hit,Hit,90068.0,765710437.0
121,12345636_40245.jsonl,"{'start': {'angle': [163.74914173871528, 46.28702448313738]}, 'type': 'Hit', 'teamId': {'mlbId': 63813}, 'personId': {'mlbId': 719210239}, 'eventId': 'ff6a2534-469c-44cf-b779-99f8e1b361ba'}",SwingRecorded,1,0,0,2,0,0,0,0,1,ba8a1c6f-5ea5-488a-a987-99c8fb7cc850,{},Strike,Foul,84.0,134.0,37.0,2250.0,ff6a2534-469c-44cf-b779-99f8e1b361ba,68.0,110.0,31.0,2940.0,{},{},[],"[{'event': 'Hit', 'time': 0.4438469164271897, 'head': {'pos': [0.23756019292332806, 1.6273258359291056, 2.716240523155071]}, 'handle': {'pos': [-2.2738133913937477, 1.2347769702806646, 3.6930547297183525]}}]","[{'event': 'First', 'time': -0.3855335, 'head': {'pos': [-3.589178410070181, -1.3543876894523308, 5.958546300595866]}, 'handle': {'pos': [-2.10370845850222, -1.35155358508572, 3.6763042282222]}}]","[{'event': 'Last', 'time': 0.8410194999999996, 'head': {'pos': [-1.4973235220465324, -1.1833201844037478, 3.565452827056895]}, 'handle': {'pos': [-3.773203240500777, -1.1097936741508203, 5.058846025611776]}}]",,,,No,Hit,5.834988486493291,2.591972609638496,0.8293804164271896,11.775588373527697,135.15054890977643,5.7152249672486,0.4504567795162815,0.8265899999999999,,,,[-0.26075163  1.67645643  3.16538051],[-0.32833008  1.53887242  2.93634702],0.7746690211334831,ff6a2534-469c-44cf-b779-99f8e1b361ba,163.74914173871528,46.28702448313738,Hit,Hit,63813.0,719210239.0
125,12345636_39577.jsonl,"{'start': {'angle': [-3.51667453625977, 15.05267685437535]}, 'type': 'Hit', 'teamId': {'mlbId': 90068}, 'personId': {'mlbId': 765710437}, 'eventId': 'ec4e2288-6ef3-4e76-9358-d731b9e21026'}",SwingRecorded,5,0,1,1,0,0,0,0,0,3fc4d468-3eb7-4647-8c0f-bef394d34a7f,{},HitIntoPlay,{},90.0,146.0,40.0,1770.0,ec4e2288-6ef3-4e76-9358-d731b9e21026,90.0,145.0,40.0,690.0,{},{},[],"[{'event': 'Hit', 'time': 0.418177171553837, 'head': {'pos': [0.20102009951578753, 0.9085122166150612, 2.0031572012499277]}, 'handle': {'pos': [2.43578475779427, 1.1026686986567382, 3.5469797521481796]}}]","[{'event': 'First', 'time': -0.4154193, 'head': {'pos': [4.272358276547996, 0.2807832343719268, 6.601961884055767]}, 'handle': {'pos': [2.1949039059535203, -0.9856391082235803, 5.379008215945586]}}]","[{'event': 'Last', 'time': 0.8210497, 'head': {'pos': [1.4240450229178423, -1.025674542058068, 2.984880285829173]}, 'handle': {'pos': [3.6448874347626323, -1.1580184305250274, 4.555103825013384]}}]",,,,No,Hit,6.17404589693864,2.7884370843224513,0.833596471553837,13.681631880960097,124.17574297328491,6.163395333837755,0.41387775132992793,0.8331999999999997,,,,[0.72589821 1.11193154 2.1601027 ],[0.63944978 0.94660301 2.30603367],0.8038139387206508,ec4e2288-6ef3-4e76-9358-d731b9e21026,-3.51667453625977,15.05267685437535,Hit,Hit,90068.0,765710437.0
126,12345636_4067.jsonl,"{'start': {'angle': [12.465085602650468, -20.945673921892304]}, 'type': 'Hit', 'teamId': {'mlbId': 90068}, 'personId': {'mlbId': 485007791}, 'eventId': 'f34c0fdc-48b9-433c-afa6-525cdd1c07f9'}",SwingRecorded,6,3,0,1,1,0,0,2,0,52035229-99ce-4e9c-a697-994fe63afde6,{},HitIntoPlay,{},95.0,153.0,42.0,2160.0,f34c0fdc-48b9-433c-afa6-525cdd1c07f9,66.0,105.0,29.0,2330.0,{},{},,,,,,,,No,Hit,6.186412780089688,6.186412780089688,-2.1619669999999998,,,,,,,,,,,,f34c0fdc-48b9-433c-afa6-525cdd1c07f9,12.465085602650468,-20.945673921892304,Hit,Hit,90068.0,485007791.0
127,12345636_39689.jsonl,{'eventId': ''},SwingRecorded,5,0,0,2,0,0,1,0,0,8db652e5-0af9-41ca-a84c-06154029bf35,{},Ball,Called,93.0,149.0,41.0,2510.0,{},,,,,{},{},"[{'event': 'Nearest', 'time': 0.425271239400198, 'head': {'pos': [0.28563029815229724, -1.2791874823809204, 2.364230577610357]}, 'handle': {'pos': [1.3839181743585636, 0.4993015768683403, 4.10950943589643]}}]",[],"[{'event': 'First', 'time': -0.4031453, 'head': {'pos': [4.177032996034093, -0.6270266611087076, 4.988476318312905]}, 'handle': {'pos': [1.6698978705257026, -1.6103554391768806, 4.585244545338217]}}]","[{'event': 'Last', 'time': 0.8934226999999996, 'head': {'pos': [1.9306647907791166, -1.7609134676617624, 4.34126626730039]}, 'handle': {'pos': [1.5268910490282095, 0.8437591059664639, 3.65723013102343]}}]",4.738670108952472,2.1814584585373757,0.828416539400198,Nearest,NoHit,,,,10.602769283284479,57.121177103041596,4.7075034124347725,0.1903848832844362,0.8266049999999997,,,,,,,,,,,,,
128,12345636_40731.jsonl,{'eventId': ''},SwingRecorded,0,0,0,1,0,0,1,2,0,721fce25-0ea9-4755-be93-7695840bdc93,{},Ball,Called,94.0,151.0,42.0,2560.0,{},,,,,{},{},,,,,7.612304731011388,7.612304731011388,-2.148561,Nearest,NoHit,,,,,,,,,,,,,,,,,,,,,
129,12345636_410.jsonl,{'eventId': ''},SwingRecorded,4,0,0,2,1,2,0,1,0,8ebf1f5f-730d-4250-81dd-cabf58241cf2,{},HitIntoPlay,{},94.0,151.0,42.0,2040.0,{},,,,,{},{},"[{'event': 'Nearest', 'time': 0.404748984573592, 'head': {'pos': [0.8510837512455537, 0.9197248952757873, 3.0253947231079796]}, 'handle': {'pos': [-1.6195001732921794, 1.4366236301956252, 4.0472991490330905]}}]",[],"[{'event': 'First', 'time': -0.4284442, 'head': {'pos': [-2.401811093059773, -0.8004796963761155, 6.287384587345387]}, 'handle': {'pos': [-1.3545909534835423, -1.554263287386051, 3.889385804347065]}}]","[{'event': 'Last', 'time': 0.8081327999999997, 'head': {'pos': [-2.8511697165452734, -0.8043804999332017, 5.321847030682873]}, 'handle': {'pos': [-3.572123528904678, 1.2872739147281524, 3.7342496962987934]}}]",4.9174186906990185,3.006745428687099,0.833193184573592,Nearest,NoHit,,,,10.474280405777632,125.32204821885725,4.728471844850344,0.41769838671344806,0.8299399999999997,,,,,,,,,,,,,
131,12345636_4061.jsonl,"{'start': {'angle': [128.54598600885328, 46.860622276549165]}, 'type': 'Hit', 'teamId': {'mlbId': 63813}, 'personId': {'mlbId': 174158975}, 'eventId': '58c08f33-90b0-4943-9d7c-f69421e3bb67'}",SwingRecorded,5,1,0,1,0,0,0,2,0,ab5adaf4-e7ee-44be-a7ab-849b5474ee82,{},Strike,Foul,90.0,145.0,40.0,2380.0,58c08f33-90b0-4943-9d7c-f69421e3bb67,71.0,115.0,32.0,3110.0,{},{},[],"[{'event': 'Hit', 'time': 0.4322331217019127, 'head': {'pos': [0.3941774487977411, -0.6288748238011961, 3.680231430519085]}, 'handle': {'pos': [-1.9788244062229283, 0.24850531706030085, 4.687368050130173]}}]","[{'event': 'First', 'time': -0.4160603, 'head': {'pos': [-3.017654084525422, -1.7965606633465967, 6.749225892082382]}, 'handle': {'pos': [-1.4055546310687403, -2.709786261094419, 4.753627674541053]}}]","[{'event': 'Last', 'time': 0.8603816999999997, 'head': {'pos': [-1.6186205123363855, -2.6777997480463687, 3.361327759561726]}, 'handle': {'pos': [-2.9808083932007805, -0.9606415256518, 4.977208232418621]}}]",,,,No,Hit,4.735273132223666,3.014053356248616,0.8482934217019127,9.956484325899254,92.04016767399331,4.661056796451891,0.3067698788574174,0.846518,,,,[ 0.08701955 -0.3383326   4.02088197],[-0.03044674 -0.4718767   3.86044813],0.8210603215353712,58c08f33-90b0-4943-9d7c-f69421e3bb67,128.54598600885328,46.860622276549165,Hit,Hit,63813.0,174158975.0
132,12345636_41354.jsonl,{'eventId': ''},SwingRecorded,5,1,0,2,0,2,0,0,1,4067a766-4715-47b4-9256-88353cd5ee7a,{},Strike,{},77.0,124.0,34.0,2070.0,{},,,,,{},{},"[{'event': 'Nearest', 'time': 0.4654895358630496, 'head': {'pos': [-0.8543218779356138, 3.909476179526885, 2.379422682092077]}, 'handle': {'pos': [-2.136272922522512, 1.6831763355315117, 3.2824445035228007]}}]",[],"[{'event': 'First', 'time': -0.3461849, 'head': {'pos': [-3.676004805677354, -1.1641882596979058, 6.566015387786428]}, 'handle': {'pos': [-1.6629348508988984, -2.307422432116766, 5.1322012888693616]}}]","[{'event': 'Last', 'time': 0.8369521, 'head': {'pos': [-1.3680493162619292, -2.012168985798243, 3.597052645956935]}, 'handle': {'pos': [-3.6364748111503373, -0.7192200609602155, 4.37021934077235]}}]",7.157619986415635,4.423858905903302,0.8116744358630497,Nearest,NoHit,,,,16.551128808270906,117.04552346281022,7.160758285615761,0.39011272970154354,0.809866,,,,,,,,,,,,,
133,12345636_41153.jsonl,"{'start': {'angle': [-9.583879756799162, 8.18451083596646]}, 'type': 'Hit', 'teamId': {'mlbId': 90068}, 'personId': {'mlbId': 765710437}, 'eventId': 'd1926873-9b53-4c51-bb15-afe1e7c2c2ad'}",SwingRecorded,5,0,0,1,0,1,0,2,0,86b43fd3-e410-43bb-8e43-3f0b80409a44,{},HitIntoPlay,{},92.0,148.0,41.0,2280.0,d1926873-9b53-4c51-bb15-afe1e7c2c2ad,98.0,158.0,44.0,230.0,{},{},[],"[{'event': 'Hit', 'time': 0.4133463745795473, 'head': {'pos': [-0.24568059402733422, 0.9106071568200634, 1.7036824140448463]}, 'handle': {'pos': [1.9379483679601979, 1.351963943724831, 3.269641107335854]}}]","[{'event': 'First', 'time': -0.420971, 'head': {'pos': [3.663463979174664, 0.6386814781209419, 6.630653274833313]}, 'handle': {'pos': [2.049978363993529, -1.013119097782592, 5.187227865219212]}}]","[{'event': 'Last', 'time': 0.8155629999999997, 'head': {'pos': [1.378445730500575, -0.6627441768991565, 2.9703580617430076]}, 'handle': {'pos': [3.465941219430033, -0.46469280424435344, 4.707711256565534]}}]",,,,No,Hit,6.2952678046282715,3.046852061923394,0.8343173745795474,13.85648838623612,118.6007532546361,6.271224598257954,0.39529631059769915,0.833252,,,,[-0.2874782   1.34811243  1.61127052],[-0.25831009  0.90805447  1.69462535],1.0057837173983928,d1926873-9b53-4c51-bb15-afe1e7c2c2ad,-9.583879756799162,8.18451083596646,Hit,Hit,90068.0,765710437.0
136,12345636_42251.jsonl,"{'start': {'angle': [-71.5502800046725, -39.247534543427705]}, 'type': 'Hit', 'teamId': {'mlbId': 90068}, 'personId': {'mlbId': 459722179}, 'eventId': 'dd0d779e-2c09-40e7-926f-9f8e9ce3f699'}",SwingRecorded,1,0,0,1,0,1,0,0,1,0826b886-bcdd-4669-875f-ee4351c3ed2e,{},Strike,Foul,94.0,152.0,42.0,2450.0,dd0d779e-2c09-40e7-926f-9f8e9ce3f699,86.0,139.0,39.0,4930.0,{},{},[],"[{'event': 'Hit', 'time': 0.3906405266101525, 'head': {'pos': [0.036493999669638365, 2.1381234333508248, 1.9169488344892265]}, 'handle': {'pos': [-2.21425692661402, 1.52396008735289, 3.321292645077361]}}]","[{'event': 'First', 'time': -0.4383885, 'head': {'pos': [-3.4629508055595615, -0.5915033696075901, 6.857846452879148]}, 'handle': {'pos': [-1.6907844689628961, -1.882147665535343, 5.242630782173208]}}]","[{'event': 'Last', 'time': 0.7847395, 'head': {'pos': [-1.2814489171762162, -3.5613043029665463, 2.292770668597972]}, 'handle': {'pos': [-3.247695827673583, -2.229926285570408, 3.625648587923376]}}]",,,,No,Hit,6.6414942372696375,3.9455207102819236,0.8290290266101525,14.22249391886056,132.1876087550259,6.522419674145456,0.44058129998046136,0.8265279999999997,,,,[-0.48170557  2.15484877  2.11887375],[-0.4004789   2.01888646  2.1895957 ],0.8058546170945634,dd0d779e-2c09-40e7-926f-9f8e9ce3f699,-71.5502800046725,-39.247534543427705,Hit,Hit,90068.0,459722179.0
138,12345636_41760.jsonl,{'eventId': ''},SwingRecorded,5,0,0,2,0,3,1,0,0,6b78a035-08fc-4734-a492-fdc16d703344,{},Ball,Called,91.0,146.0,41.0,1930.0,{},,,,,{},{},,,,,7.110891769927114,7.110891769927114,-2.2349229999999998,Nearest,NoHit,,,,,,,,,,,,,,,,,,,,,
140,12345636_42779.jsonl,{'eventId': ''},SwingRecorded,5,1,0,0,0,0,0,0,1,aac6c118-d92b-4f99-86d7-cf36797325bc,{},Strike,Foul,91.0,146.0,41.0,2450.0,{},,,,,{},{},"[{'event': 'Nearest', 'time': 0.4131750294671158, 'head': {'pos': [0.17367159543210522, 1.570459284756008, 3.294632525982069]}, 'handle': {'pos': [-2.1832163227978403, 0.5370952138181999, 4.184854927333487]}}]",[],"[{'event': 'First', 'time': -0.422972, 'head': {'pos': [-3.4822624554336943, -1.284725516071995, 6.527548083146014]}, 'handle': {'pos': [-1.5513432477695384, -2.1884805176417905, 4.833430083512419]}}]","[{'event': 'Last', 'time': 0.813607, 'head': {'pos': [-0.9195262938615233, -2.1529281406901872, 3.658716140903536]}, 'handle': {'pos': [-3.1296490478122285, -1.0776057219341693, 4.831020279880016]}}]",5.65417341712402,2.872050902070141,0.8361470294671158,Nearest,NoHit,,,,13.07514562565444,141.24269371716554,5.568242401349732,0.47076189815934055,0.8332740000000001,,,,,,,,,,,,,
143,12345636_42360.jsonl,"{'start': {'angle': [19.917633247757905, 24.92796051588091]}, 'type': 'Hit', 'teamId': {'mlbId': 90068}, 'personId': {'mlbId': 451871192}, 'eventId': 'eec3954f-f557-4f0e-a7e8-5612f7ea2e5e'}",SwingRecorded,4,0,0,0,1,1,0,2,0,19c70589-2a8e-4641-baed-0d0cf8073e7e,{},HitIntoPlay,{},85.0,136.0,38.0,2390.0,eec3954f-f557-4f0e-a7e8-5612f7ea2e5e,89.0,144.0,40.0,1750.0,{},{},[],"[{'event': 'Hit', 'time': 0.452448434745794, 'head': {'pos': [0.8312101197560063, 0.19017091408092623, 1.7502382507332863]}, 'handle': {'pos': [-1.4782934148952906, 0.47933121667267775, 3.163687092718571]}}]","[{'event': 'First', 'time': -0.3940069, 'head': {'pos': [-1.764749317468848, -2.5810664273522868, 6.153536059674673]}, 'handle': {'pos': [-1.4892708691882592, -2.259810145465946, 3.4635241801557726]}}]","[{'event': 'Last', 'time': 0.8725590999999997, 'head': {'pos': [-5.8707313114842075, 0.506031716871438, 5.171583585604218]}, 'handle': {'pos': [-4.189925474751105, 0.11272764010769815, 3.0655300420122487]}}]",,,,No,Hit,5.814446955343098,2.7555250289707427,0.8464553347457939,12.113777394089025,106.44571543971627,5.65008951684746,0.3547835695605894,0.8432649999999998,,,,[0.33220113 0.29856109 2.19572761],[0.26639603 0.2608882  2.09591247],0.7554391749349266,eec3954f-f557-4f0e-a7e8-5612f7ea2e5e,19.917633247757905,24.92796051588091,Hit,Hit,90068.0,451871192.0
145,12345636_42998.jsonl,"{'start': {'angle': [-132.62174090669996, 33.69551677053154]}, 'type': 'Hit', 'teamId': {'mlbId': 63813}, 'personId': {'mlbId': 719210239}, 'eventId': 'd050f921-7ac4-499a-a349-b124a48cf720'}",SwingRecorded,2,0,0,0,0,0,0,0,1,1c20ee5f-b39e-48dc-86d5-48271d1df2ce,{},Strike,Foul,87.0,139.0,39.0,2050.0,d050f921-7ac4-499a-a349-b124a48cf720,15.0,25.0,7.0,470.0,{},{},[],"[{'event': 'Hit', 'time': 0.423309937601352, 'head': {'pos': [-0.2044067320915155, 2.668850579801944, 1.8166128671449033]}, 'handle': {'pos': [-2.226212926256086, 1.5170182876192408, 3.231123372582825]}}]","[{'event': 'First', 'time': -0.3989579000000002, 'head': {'pos': [-3.4809680639310687, -1.7643694417443365, 6.165185833093076]}, 'handle': {'pos': [-2.092091896689787, -1.885633227487402, 3.826045826080296]}}]","[{'event': 'Last', 'time': 0.8109451, 'head': {'pos': [-1.8257463087361974, -1.2717762124377872, 3.7357024440645588]}, 'handle': {'pos': [-4.189169952178374, -0.06671065917372024, 4.349952865331165]}}]",,,,No,Hit,7.021351775899017,3.4568712023309325,0.8222678376013521,13.472180071907026,138.7042223382184,6.907102944171756,0.4623011730532784,0.8199339999999999,,,,[-0.23180007  2.87349176  1.8761927 ],[-0.17821768  2.6837706   1.7982903 ],1.01295329312525,d050f921-7ac4-499a-a349-b124a48cf720,-132.62174090669996,33.69551677053154,Hit,Hit,63813.0,719210239.0
